client_id,timestamp,actual_response,expected_response,window_start,window_end
group_3_user_1,1740632575001,429,200,1740632515001,1740632575001
group_3_user_1,1740632584019,429,200,1740632524019,1740632584019
group_3_user_1,1740632618713,429,200,1740632558713,1740632618713
group_3_user_1,1740632619713,429,200,1740632559713,1740632619713
group_3_user_1,1740632620714,429,200,1740632560714,1740632620714
group_3_user_1,1740632621712,429,200,1740632561712,1740632621712
group_3_user_1,1740632622976,429,200,1740632562976,1740632622976
group_3_user_1,1740632623976,429,200,1740632563976,1740632623976
group_3_user_1,1740632624976,429,200,1740632564976,1740632624976
group_3_user_1,1740632625976,429,200,1740632565976,1740632625976
group_3_user_1,1740632626977,429,200,1740632566977,1740632626977
group_3_user_1,1740632627977,429,200,1740632567977,1740632627977
group_3_user_1,1740632633006,429,200,1740632573006,1740632633006
group_3_user_1,1740632635025,429,200,1740632575025,1740632635025
group_3_user_1,1740632639801,429,200,1740632579801,1740632639801
group_3_user_1,1740632655894,429,200,1740632595894,1740632655894
group_3_user_1,1740632674035,429,200,1740632614035,1740632674035
group_3_user_1,1740632678853,429,200,1740632618853,1740632678853
group_3_user_1,1740632679853,429,200,1740632619853,1740632679853
group_3_user_1,1740632682610,429,200,1740632622610,1740632682610
group_3_user_1,1740632683609,429,200,1740632623609,1740632683609
group_3_user_1,1740632684610,429,200,1740632624610,1740632684610
group_3_user_1,1740632685610,429,200,1740632625610,1740632685610
group_3_user_1,1740632687869,429,200,1740632627869,1740632687869
group_3_user_1,1740632688869,429,200,1740632628869,1740632688869
group_3_user_1,1740632691630,429,200,1740632631630,1740632691630
group_3_user_1,1740632694647,429,200,1740632634647,1740632694647
group_3_user_1,1740632696918,429,200,1740632636918,1740632696918
group_3_user_1,1740632697919,429,200,1740632637919,1740632697919
group_3_user_1,1740632700919,429,200,1740632640919,1740632700919
group_3_user_1,1740632709957,429,200,1740632649957,1740632709957
group_3_user_1,1740632728010,429,200,1740632668010,1740632728010
group_3_user_1,1740632739983,429,200,1740632679983,1740632739983
group_3_user_1,1740632740984,429,200,1740632680984,1740632740984
group_3_user_1,1740632743767,429,200,1740632683767,1740632743767
group_3_user_1,1740632745768,429,200,1740632685768,1740632745768
group_3_user_1,1740632746769,429,200,1740632686769,1740632746769
group_3_user_1,1740632749038,429,200,1740632689038,1740632749038
group_3_user_1,1740632751038,429,200,1740632691038,1740632751038
group_3_user_1,1740632752039,429,200,1740632692039,1740632752039
group_3_user_1,1740632757573,429,200,1740632697573,1740632757573
group_3_user_1,1740632760834,429,200,1740632700834,1740632760834
group_3_user_1,1740632766598,429,200,1740632706598,1740632766598
group_3_user_1,1740632771941,429,200,1740632711941,1740632771941
group_3_user_1,1740632781989,429,200,1740632721989,1740632781989
group_3_user_1,1740632796040,429,200,1740632736040,1740632796040
group_3_user_1,1740632798052,429,200,1740632738052,1740632798052
group_3_user_1,1740632801811,429,200,1740632741811,1740632801811
group_3_user_1,1740632802811,429,200,1740632742811,1740632802811
group_3_user_1,1740632804811,429,200,1740632744811,1740632804811
group_3_user_1,1740632808862,429,200,1740632748862,1740632808862
group_3_user_1,1740632810863,429,200,1740632750863,1740632810863
group_3_user_1,1740632811862,429,200,1740632751862,1740632811862
group_3_user_1,1740632816669,429,200,1740632756669,1740632816669
group_3_user_1,1740632817668,429,200,1740632757668,1740632817668
group_3_user_1,1740632820929,429,200,1740632760929,1740632820929
group_3_user_1,1740632822930,429,200,1740632762930,1740632822930
group_3_user_1,1740632828734,429,200,1740632768734,1740632828734
group_3_user_1,1740632831998,429,200,1740632771998,1740632831998
group_3_user_1,1740632839028,429,200,1740632779028,1740632839028
group_3_user_1,1740632847797,429,200,1740632787797,1740632847797
group_3_user_1,1740632859582,429,200,1740632799582,1740632859582
group_3_user_1,1740632862844,429,200,1740632802844,1740632862844
group_3_user_1,1740632864844,429,200,1740632804844,1740632864844
group_3_user_1,1740632865844,429,200,1740632805844,1740632865844
group_3_user_1,1740632870617,429,200,1740632810617,1740632870617
group_3_user_1,1740632871618,429,200,1740632811618,1740632871618
group_3_user_1,1740632874893,429,200,1740632814893,1740632874893
group_3_user_1,1740632876893,429,200,1740632816893,1740632876893
group_3_user_1,1740632877894,429,200,1740632817894,1740632877894
group_3_user_1,1740632882931,429,200,1740632822931,1740632882931
group_3_user_1,1740632884931,429,200,1740632824931,1740632884931
group_3_user_1,1740632889686,429,200,1740632829686,1740632889686
group_3_user_1,1740632891686,429,200,1740632831686,1740632891686
group_3_user_1,1740632895954,429,200,1740632835954,1740632895954
group_3_user_1,1740632907869,429,200,1740632847869,1740632907869
group_3_user_1,1740632915888,429,200,1740632855888,1740632915888
group_3_user_1,1740632918899,429,200,1740632858899,1740632918899
group_3_user_1,1740632922676,429,200,1740632862676,1740632922676
group_3_user_1,1740632925961,429,200,1740632865961,1740632925961
group_3_user_1,1740632930730,429,200,1740632870730,1740632930730
group_3_user_1,1740632931729,429,200,1740632871729,1740632931729
group_3_user_1,1740632936009,429,200,1740632876009,1740632936009
group_3_user_1,1740632937009,429,200,1740632877009,1740632937009
group_3_user_1,1740632938009,429,200,1740632878009,1740632938009
