timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740561654621,487,1.1 - Get Categories,404,,Thread-Gruppe 1-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1070,301,1,3,http://34.72.14.4:8090/sliding_window_logs/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_1_user_1,487,0,236
1740561654625,490,1.1 - Get Categories,404,,Thread-Gruppe 3-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1070,301,1,3,http://34.72.14.4:8090/sliding_window_logs/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,490,0,242
1740561654624,499,1.1 - Get Categories,404,,Thread-Gruppe 2-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1070,301,1,3,http://34.72.14.4:8090/sliding_window_logs/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,499,0,248
1740561659626,485,1.1 - Get Categories,404,,Thread-Gruppe 3-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1070,304,1,3,http://35.232.210.73:8091/sliding_window_logs/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,484,0,240
1740561661292,477,1.1 - Get Categories,404,,Thread-Gruppe 2-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1070,304,1,3,http://35.232.210.73:8091/sliding_window_logs/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,477,0,238
1740561664626,250,1.1 - Get Categories,404,,Thread-Gruppe 3-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1070,301,1,3,http://34.72.14.4:8090/sliding_window_logs/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,249,0,0
1740561667959,265,1.1 - Get Categories,404,,Thread-Gruppe 2-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1070,301,1,3,http://34.72.14.4:8090/sliding_window_logs/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,265,0,0
1740561669624,246,1.1 - Get Categories,404,,Thread-Gruppe 3-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1070,304,1,3,http://35.232.210.73:8091/sliding_window_logs/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,246,0,0
1740561674624,255,1.1 - Get Categories,404,,Thread-Gruppe 2-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1070,304,1,3,http://35.232.210.73:8091/sliding_window_logs/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,255,0,0
1740561674625,258,1.1 - Get Categories,404,,Thread-Gruppe 3-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1070,301,1,3,http://34.72.14.4:8090/sliding_window_logs/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,258,0,0
1740561674620,485,1.1 - Get Categories,404,,Thread-Gruppe 1-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1070,304,1,3,http://35.232.210.73:8091/sliding_window_logs/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_1_user_1,485,0,235
1740561679624,267,1.1 - Get Categories,404,,Thread-Gruppe 3-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1070,304,1,2,http://35.232.210.73:8091/sliding_window_logs/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_3_user_1,267,0,0
1740561681294,256,1.1 - Get Categories,404,,Thread-Gruppe 2-1,text,false,Test failed: code expected something using /200/	Test failed: code expected something using /429/	,1070,301,1,1,http://34.72.14.4:8090/sliding_window_logs/redis_script_rate_limit_100_window_size_60/tools.descartes.teastore.persistence/rest/categories?start=-1&max=-1&token=group_2_user_1,256,0,0
